date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-06-01,8485.0,7591.0,2858,34316.0,210703.0,15907945,386950,3950.0,1811571,20362,535950.0,18492505,412449
2020-06-02,8566.0,7407.0,1736,33950.0,212439.0,16325609,417664,3852.0,1831726,20155,541613.0,18954043,461538
2020-06-03,8688.0,7227.0,2145,33237.0,214584.0,16799368,473759,3749.0,1851881,20155,556949.0,19453669,499626
2020-06-04,8787.0,7057.0,-2849,32814.0,211735.0,17250450,451082,3665.0,1872264,20383,569233.0,19962232,508563
2020-06-05,8863.0,6920.0,1513,32499.0,213248.0,17754219,503769,3523.0,1895330,23066,575917.0,20571120,608888
2020-06-06,8920.0,6762.0,982,31994.0,214230.0,18271222,517003,3476.0,1917888,22558,585047.0,21132582,561462
2020-06-07,8957.0,6501.0,655,31490.0,214885.0,18685577,414355,3298.0,1936706,18818,590504.0,21563239,430657
2020-06-08,9013.0,6402.0,1095,31121.0,215980.0,19052798,367221,3240.0,1953936,17230,602715.0,21965088,401849
2020-06-09,9141.0,6457.0,1263,31187.0,217243.0,19457620,404822,3090.0,1971087,17151,609256.0,22423611,458523
2020-06-10,9225.0,6249.0,1237,30952.0,218480.0,19890495,432875,3020.0,1991814,20727,617695.0,22903685,480074
2020-06-11,9295.0,6074.0,1527,29844.0,220007.0,20324872,434377,2886.0,2013885,22071,628050.0,23384863,481178
2020-06-12,9373.0,6017.0,1380,29309.0,221387.0,20939328,614456,2734.0,2036981,23096,635522.0,24009013,624150
2020-06-13,9430.0,5883.0,943,28578.0,222330.0,21428665,489337,2726.0,2062226,25245,644787.0,24551042,542029
2020-06-14,9466.0,5749.0,610,28020.0,222940.0,21877699,449034,2716.0,2083559,21333,649974.0,25023687,472645
2020-06-15,9516.0,5703.0,688,28026.0,223628.0,22286681,408982,2640.0,2102213,18654,664469.0,25467937,444250
2020-06-16,9590.0,5570.0,1173,28386.0,224801.0,22739526,452845,2594.0,2125481,23268,671680.0,25973133,505196
2020-06-17,9665.0,5612.0,1081,28664.0,225882.0,23237637,498111,2588.0,2149387,23906,680432.0,26535799,562666
2020-06-18,9736.0,5464.0,1095,28521.0,226977.0,23733652,496015,2520.0,2176476,27089,690166.0,27090608,554809
2020-06-19,9876.0,5341.0,1587,28706.0,228564.0,24321907,588255,2434.0,2207435,30959,697556.0,27743918,653310
2020-06-20,9908.0,5229.0,686,28084.0,229250.0,24862450,540543,2380.0,2239386,31951,708341.0,28349704,605786
2020-06-21,9944.0,5195.0,519,28325.0,229769.0,25322844,460394,2321.0,2268234,28848,712904.0,28845731,496027
2020-06-22,10002.0,5323.0,847,28954.0,230616.0,25767292,444448,2299.0,2295413,27179,731021.0,29337426,491695
2020-06-23,10077.0,5402.0,1262,30394.0,231878.0,26234307,467015,2293.0,2329298,33885,738454.0,29994722,657296
2020-06-24,10173.0,5293.0,1255,31271.0,233133.0,26756956,522649,2248.0,2368307,39009,747031.0,30551323,556601
2020-06-25,10257.0,5320.0,1279,31926.0,234412.0,27403608,646652,2214.0,2407988,39681,756120.0,31253745,702422
2020-06-26,10334.0,5283.0,1546,31810.0,235958.0,28006518,602910,2075.0,2452367,44379,763402.0,32055217,801472
2020-06-27,10415.0,5314.0,1048,32566.0,237006.0,28621632,615114,2159.0,2495255,42888,771895.0,32753342,698125
2020-06-28,10473.0,5252.0,547,32575.0,237553.0,29159782,538150,2077.0,2536587,41332,777667.0,33362382,609040
2020-06-29,10542.0,5380.0,734,33744.0,238287.0,29759713,599931,2011.0,2576357,39770,797723.0,34032855,670473
2020-06-30,10669.0,5424.0,1483,35335.0,239770.0,30378888,619175,2044.0,2623987,47630,813219.0,34744589,711734
2020-07-01,10752.0,5512.0,1433,36569.0,241203.0,31014740,635852,2098.0,2674988,51001,822580.0,35469658,725069
2020-07-02,10843.0,5626.0,1694,37627.0,242897.0,31659432,644692,2105.0,2728496,53508,874530.0,36225953,756295
2020-07-03,10936.0,5597.0,1344,37927.0,244241.0,32356301,696869,2049.0,2782184,53688,883025.0,37017933,791980
2020-07-04,10977.0,5633.0,872,38281.0,245113.0,32934368,578067,1982.0,2836328,54144,893652.0,37694480,676547
2020-07-05,11010.0,5653.0,582,38872.0,245695.0,33520046,585678,2080.0,2881495,45167,901881.0,38332163,637683
2020-07-06,11058.0,5687.0,818,39970.0,246513.0,33995359,475313,2105.0,2922989,41494,923481.0,38977507,645344
2020-07-07,11177.0,5832.0,1936,41957.0,248449.0,34604898,609539,2098.0,2974731,51742,935850.0,39704349,726842
2020-07-08,11303.0,5874.0,1888,43204.0,250337.0,35238684,633786,2172.0,3037467,62736,952731.0,40484798,780449
2020-07-09,11370.0,5845.0,1654,44055.0,251991.0,35930609,691925,2127.0,3096426,58959,968441.0,41310616,825818
2020-07-10,11523.0,5896.0,2207,51740.0,254198.0,36691399,760790,2197.0,3163250,66824,982521.0,42228587,917971
2020-07-11,11612.0,5939.0,5070,51982.0,259268.0,37370601,679202,2169.0,3225574,62324,994923.0,43045025,816438
2020-07-12,11679.0,5930.0,894,52860.0,260162.0,38057836,687235,2182.0,3286546,60972,1005644.0,43857349,812324
2020-07-13,11749.0,6074.0,1174,54156.0,261336.0,38674782,616946,2259.0,3344149,57603,1031219.0,44605363,748014
2020-07-14,11857.0,6235.0,2212,55667.0,263548.0,39410464,735682,2263.0,3403399,59250,1048400.0,45453278,847915
2020-07-15,12002.0,6317.0,2404,56312.0,265952.0,40161479,751015,2317.0,3472500,69101,1075159.0,46362660,909382
2020-07-16,12091.0,6359.0,2195,57614.0,268147.0,40946352,784873,2317.0,3542949,70449,1089922.0,47303961,941301
2020-07-17,12243.0,6452.0,2480,57894.0,270627.0,41713832,767480,2353.0,3619167,76218,1106096.0,48232612,928651
2020-07-18,12342.0,6397.0,1976,57822.0,272603.0,42393976,680144,2343.0,3683589,64422,1121981.0,49085782,853170
2020-07-19,12393.0,6384.0,888,58052.0,273491.0,43057355,663379,2362.0,3747304,63715,1130378.0,49877409,791627
2020-07-20,12475.0,6557.0,1623,58509.0,275114.0,43680486,623131,2403.0,3804239,56935,1159320.0,50609963,732554
2020-07-21,12629.0,6711.0,2510,59480.0,277624.0,44370162,689676,2414.0,3867864,63625,1182158.0,51437465,827502
2020-07-22,12790.0,10457.0,2246,59752.0,279870.0,45105619,735457,2440.0,3937210,69346,1210067.0,52348406,910941
2020-07-23,12933.0,10414.0,2378,59854.0,282248.0,45875842,770223,2465.0,4008435,71225,1232403.0,53270817,922411
2020-07-24,13182.0,10395.0,3040,59808.0,285288.0,46727146,851304,2711.0,4083289,74854,1260741.0,54276892,1006075
2020-07-25,13279.0,10380.0,1811,59382.0,287099.0,47430860,703714,2729.0,4147665,64376,1278557.0,55144571,867679
2020-07-26,13343.0,10353.0,1380,58731.0,288479.0,48166296,735436,2723.0,4207788,60123,1296974.0,56001510,856939
2020-07-27,13412.0,10328.0,1671,58991.0,290150.0,48825161,658865,2720.0,4262801,55013,1324925.0,56781645,780135
2020-07-28,13559.0,10463.0,4051,57178.0,294201.0,49549430,724269,2752.0,4321785,58984,1354538.0,57655268,873623
2020-07-29,13744.0,10539.0,2868,57427.0,297069.0,50306039,756609,2772.0,4385726,63941,1389701.0,58562509,907241
2020-07-30,13875.0,10523.0,3279,56565.0,300348.0,51027630,721591,2760.0,4454531,68805,1413102.0,59446911,884402
2020-07-31,14044.0,10472.0,2533,55700.0,302881.0,51677747,650117,2703.0,4522061,67530,1437182.0,60434717,987806
2020-08-01,14227.0,10450.0,2366,54554.0,305247.0,52323022,645275,2698.0,4582306,60245,1460930.0,61234918,800201
2020-08-02,14288.0,10415.0,831,54106.0,306078.0,52980821,657799,2645.0,4635043,52737,1467653.0,62011533,776615
2020-08-03,14370.0,10230.0,1606,53524.0,307684.0,53602034,621213,2659.0,4678165,43122,1512439.0,62741027,729494
2020-08-04,14537.0,10207.0,4408,53440.0,312092.0,54272729,670695,2701.0,4729980,51815,1528017.0,63533289,792262
2020-08-05,14687.0,9986.0,2123,53444.0,314215.0,54942973,670244,2719.0,4782444,52464,1576782.0,64352694,819405
2020-08-06,14810.0,9994.0,2594,53221.0,316809.0,55635868,692895,2718.0,4836247,53803,1597514.0,65202677,849983
2020-08-07,14925.0,9691.0,7992,51301.0,324801.0,56339242,703374,2617.0,4897083,60836,1622789.0,66085472,882795
2020-08-08,15024.0,9662.0,1479,50071.0,326280.0,56981484,642242,2566.0,4950166,53083,1641953.0,66856623,771151
2020-08-09,15081.0,9307.0,862,48997.0,327142.0,57655951,674467,2507.0,5000319,50153,1655695.0,67639559,782936
2020-08-10,15158.0,9216.0,1594,48761.0,328736.0,58312530,656579,2533.0,5042062,41743,1669563.0,68400810,761251
2020-08-11,15331.0,9136.0,2599,48620.0,331335.0,59038256,725726,2415.0,5097490,55428,1713812.0,69233361,832551
2020-08-12,15524.0,9555.0,2988,48046.0,334323.0,59501248,462992,2604.0,5153384,55894,1753994.0,69818558,585197
2020-08-13,15629.0,9487.0,2651,47322.0,336974.0,60264711,763463,2579.0,5205005,51621,1773505.0,70753679,935121
2020-08-14,15764.0,9277.0,2143,45860.0,339117.0,61054999,790288,2549.0,5262098,57093,1795121.0,71720703,967024
2020-08-15,15891.0,9087.0,1881,44922.0,340998.0,61746950,691951,2526.0,5317908,55810,1817332.0,72600524,879821
2020-08-16,15924.0,8958.0,685,44155.0,341683.0,62393841,646891,2481.0,5359690,41782,1831798.0,73355218,754694
2020-08-17,15985.0,8871.0,1274,43596.0,342957.0,62996693,602852,2447.0,5397641,37951,1864220.0,74070306,715088
2020-08-18,16123.0,8866.0,2227,43848.0,345184.0,63636009,639316,2468.0,5438132,40491,1887869.0,74832442,762136
2020-08-19,16377.0,8744.0,1996,43395.0,347180.0,64313545,677536,2371.0,5483014,44882,1923539.0,75663303,830861
2020-08-20,16487.0,8483.0,1975,42081.0,349155.0,64959268,645723,2335.0,5526737,43723,1945468.0,76505360,842057
2020-08-21,16563.0,8357.0,1767,41047.0,350922.0,65676114,716846,2286.0,5572932,46195,1963656.0,77400544,895184
2020-08-22,16657.0,8207.0,1598,40017.0,352520.0,66369002,692888,2204.0,5618654,45722,1984053.0,78272647,872103
2020-08-23,16697.0,7949.0,698,39064.0,353218.0,66945563,576561,2131.0,5655978,37324,1996283.0,78975452,702805
2020-08-24,16787.0,7851.0,1075,38776.0,354293.0,67597087,651524,2118.0,5690227,34249,2019310.0,79711883,736431
2020-08-25,16920.0,7863.0,1954,38842.0,356247.0,68219951,622864,2163.0,5726814,36587,2052294.0,80431047,719164
2020-08-26,17046.0,7737.0,1819,38501.0,358066.0,68829157,609206,2142.0,5770440,43626,2083058.0,81191832,760785
2020-08-27,17181.0,7717.0,1659,37529.0,359725.0,69541658,712501,2125.0,5814355,43915,2099887.0,82083920,892088
2020-08-28,17304.0,7558.0,1627,37351.0,361352.0,70256116,714458,2086.0,5860476,46121,2116889.0,82986229,902309
2020-08-29,17401.0,7413.0,1284,36516.0,362636.0,70956513,700397,2062.0,5904438,43962,2139059.0,83868733,882504
2020-08-30,17439.0,7268.0,662,35801.0,363298.0,71650438,693925,2055.0,5943723,39285,2152344.0,84693592,824859
2020-08-31,17537.0,7043.0,751,35423.0,364049.0,72273522,623084,2077.0,5974993,31270,2183106.0,85406657,713065
2020-09-01,17655.0,7090.0,1839,35334.0,365888.0,72902038,628516,2042.0,6017412,42419,2201023.0,86217546,810889
2020-09-02,17784.0,7087.0,1513,35667.0,367401.0,73525981,623943,2024.0,6047628,30216,2230060.0,86998724,781178
2020-09-03,17894.0,6921.0,1491,34747.0,368892.0,74208277,682296,2042.0,6092249,44621,2265262.0,87893655,894931
2020-09-04,18012.0,6924.0,1227,34191.0,370119.0,75087813,879536,1995.0,6143760,51511,2281748.0,88974433,1080778
2020-09-05,18089.0,6766.0,1187,33626.0,371306.0,75825472,737659,1956.0,6188503,44743,2300418.0,89919171,944738
2020-09-06,18125.0,6700.0,499,32497.0,371805.0,76447296,621824,1912.0,6221423,32920,2314245.0,90670375,751204
2020-09-07,18156.0,6630.0,474,32116.0,372279.0,76981229,533933,1879.0,6249565,28142,2331821.0,91312211,641836
2020-09-08,18189.0,6542.0,979,32345.0,373258.0,77459466,478237,1879.0,6271700,22135,2357307.0,91887768,575557
2020-09-09,18322.0,6646.0,1934,32647.0,375192.0,78021169,561703,1903.0,6302871,31171,2385790.0,92618299,730531
2020-09-10,18453.0,6531.0,1496,32536.0,376688.0,78601139,579970,1925.0,6340175,37304,2401781.0,93421552,803253
2020-09-11,18549.0,6379.0,1516,31529.0,378204.0,79312688,711549,1715.0,6384859,44684,2416126.0,94343376,921824
2020-09-12,18648.0,6451.0,1132,30758.0,379336.0,80092297,779609,1619.0,6426724,41865,2437110.0,95320938,977562
2020-09-13,18692.0,6233.0,545,29921.0,379881.0,80688633,596336,1562.0,6461038,34314,2448271.0,96081428,760490
2020-09-14,18748.0,6238.0,956,30045.0,380837.0,81401965,713332,1507.0,6494615,33577,2476089.0,96927033,845605
2020-09-15,18847.0,6310.0,1453,30447.0,382290.0,82059011,657046,1572.0,6529560,34945,2493331.0,97758782,831749
